,0
0,55029.40279486652
1,63484.42338514911
2,60086.55665847987
3,47313.88902347683
4,51067.775401634404
5,45147.27942296713
6,50493.09314411479
7,54065.75137252522
8,52836.68638103693
9,44949.33292623658
