,0
0,33888.131304134105
1,35347.27333699669
2,35716.23861186911
3,36708.57244492675
4,37588.1986139902
5,34981.06609155186
6,34636.55529975057
7,34107.67038184532
8,34603.46645069633
9,32662.03878722878
