,0
0,332.1208690284581
1,335.23184741780244
2,329.14923764475367
3,324.3748448963514
4,327.9666025610548
5,343.88766648548784
6,344.7632841450032
7,331.35525559370967
8,327.19793601483934
9,324.2492104795451
