,0
0,54276.435667094665
1,53787.39976303687
2,61102.69929576928
3,51713.02031671203
4,62926.79002278834
5,61378.50112239469
6,54374.84072548636
7,56272.91238774188
8,54435.482582105906
9,59576.85247951033
