,0
0,43134.57219316578
1,40344.31499763908
2,40309.114215412446
3,42009.29662424574
4,39296.567512932044
5,41356.859934370346
6,39373.445436193804
7,33946.06120017385
8,39690.15099218285
9,45440.195062506995
