,0
0,17976.237585015486
1,15218.824735478267
2,16689.149529169776
3,14784.014767027847
4,16929.978247836054
5,17413.045006642038
6,16235.335703118377
7,16559.290231066476
8,15439.632373999631
9,19841.669837646958
