,0
0,16414.704757106952
1,17580.654968806488
2,16980.265753435273
3,18391.597350775526
4,18426.981470585313
5,17966.868317139066
6,16169.684754958866
7,17922.902419933216
8,18857.663711944682
9,17890.812272734882
